sender,role,groupNum,condition,task,M,C,M_total,C_total,M_norm,C_norm,"NES(w_m=0.6, w_c=0.4)","NES(w_m=0.5, w_c=0.5)","NES(w_m=0.4, w_c=0.6)"
p12,Junior,g3,C,1,7,302,61,2599,0.11475409836065574,0.116198537899192,0.11533187417607024,0.11547631812992387,0.1156207620837775
p9,Senior,g3,C,1,17,995,61,2599,0.2786885245901639,0.3828395536744902,0.32034893622389443,0.33076403913232705,0.34117914204075966
p10,Senior,g3,A,2,11,199,104,2680,0.10576923076923077,0.07425373134328359,0.0931630309988519,0.09001148105625717,0.08685993111366247
p11,Senior,g3,A,2,34,945,104,2680,0.3269230769230769,0.35261194029850745,0.33719862227324915,0.3397675086107922,0.34233639494833523
p12,Junior,g3,A,2,32,740,104,2680,0.3076923076923077,0.27611940298507465,0.2950631458094145,0.2919058553386912,0.28874856486796785
p9,Senior,g3,A,2,27,796,104,2680,0.25961538461538464,0.29701492537313434,0.27457520091848453,0.2783151549942595,0.2820551090700345
p13,Senior,g4,B,1,9,452,39,1523,0.23076923076923078,0.29678266579120155,0.2571746047780191,0.26377594828021617,0.2703772917824132
p14,Senior,g4,B,1,15,376,39,1523,0.38461538461538464,0.2468811556139199,0.3295216930147987,0.3157482701146523,0.3019748472145058
p15,Senior,g4,B,1,4,266,39,1523,0.10256410256410256,0.17465528562048588,0.1314005757866559,0.13860969409229423,0.14581881239793254
p16,Junior,g4,B,1,11,429,39,1523,0.28205128205128205,0.28168089297439264,0.2819031264205263,0.28186608751283737,0.2818290486051484
p13,Senior,g4,A,2,17,920,48,2497,0.3541666666666667,0.368442130556668,0.3598768522226672,0.36130439861166735,0.3627319450006675
p14,Senior,g4,A,2,11,394,48,2497,0.22916666666666666,0.15778934721666,0.20061573888666398,0.19347800694166334,0.18634027499666267
p15,Senior,g4,A,2,7,389,48,2497,0.14583333333333334,0.15578694433319984,0.14981477773327995,0.1508101388332666,0.15180549993325324
p16,Junior,g4,A,2,13,794,48,2497,0.2708333333333333,0.31798157789347214,0.28969263115738886,0.29440745561340276,0.29912228006941666
p17,Senior,g5,B,1,23,979,57,2382,0.40350877192982454,0.41099916036943746,0.40650492730566967,0.407253966149631,0.4080030049935923
p18,Senior,g5,B,1,13,429,57,2382,0.22807017543859648,0.1801007556675063,0.2088824075301604,0.2040854655530514,0.1992885235759424
p19,Senior,g5,B,1,13,456,57,2382,0.22807017543859648,0.19143576826196473,0.21341641256794378,0.2097529718502806,0.20608953113261744
p20,Junior,g5,B,1,8,518,57,2382,0.14035087719298245,0.2174643157010915,0.17119625259622606,0.17890759644703697,0.1866189402978479
p17,Senior,g5,A,2,18,704,56,2350,0.32142857142857145,0.2995744680851064,0.3126869300911854,0.31050151975683893,0.30831610942249243
p18,Senior,g5,A,2,17,698,56,2350,0.30357142857142855,0.2970212765957447,0.300951367781155,0.3002963525835866,0.2996413373860182
p19,Senior,g5,A,2,14,640,56,2350,0.25,0.2723404255319149,0.25893617021276594,0.2611702127659574,0.2634042553191489
p20,Junior,g5,A,2,7,308,56,2350,0.125,0.13106382978723405,0.1274255319148936,0.12803191489361704,0.12863829787234043
P24,Other,g6,C,1,12,549,44,1989,0.2727272727272727,0.27601809954751133,0.27404360345536816,0.274372686137392,0.2747017688194159
p21,Senior,g6,C,1,12,602,44,1989,0.2727272727272727,0.30266465560583206,0.2847022258786964,0.2876959641665524,0.29068970245440834
p22,Senior,g6,C,1,5,172,44,1989,0.11363636363636363,0.08647561588738059,0.10277206453677042,0.1000559897618721,0.09733991498697381
p23,Senior,g6,C,1,15,666,44,1989,0.3409090909090909,0.334841628959276,0.33848210612916496,0.33787535993418344,0.3372686137392019
P24,Other,g6,A,2,18,528,63,2096,0.2857142857142857,0.25190839694656486,0.27219193020719734,0.2688113413304253,0.2654307524536532
p21,Senior,g6,A,2,20,514,63,2096,0.31746031746031744,0.2452290076335878,0.2885677935296256,0.2813446625469526,0.27412153156427965
p22,Senior,g6,A,2,3,103,63,2096,0.047619047619047616,0.0491412213740458,0.04822791712104689,0.04838013449654671,0.04853235187204653
p23,Senior,g6,A,2,22,951,63,2096,0.3492063492063492,0.45372137404580154,0.3910123591421301,0.4014638616260754,0.4119153641100206
p25,Senior,g7,A,1,21,1040,62,2387,0.3387096774193548,0.43569333891914536,0.37750314201927104,0.3872015081692501,0.39689987431922913
p26,Senior,g7,A,1,19,705,62,2387,0.3064516129032258,0.29534981147884376,0.302010892333473,0.30090071219103476,0.29979053204859657
p27,Senior,g7,A,1,10,366,62,2387,0.16129032258064516,0.15333054042731462,0.15810640971931295,0.1573104315039799,0.15651445328864683
p28,Junior,g7,A,1,12,276,62,2387,0.1935483870967742,0.11562630917469627,0.162379555927943,0.15458734813573521,0.14679514034352742
p25,Senior,g7,B,2,15,642,38,1512,0.39473684210526316,0.4246031746031746,0.40668337510442776,0.40967000835421885,0.41265664160401005
p26,Senior,g7,B,2,9,358,38,1512,0.23684210526315788,0.23677248677248677,0.23681425786688945,0.23680729601782233,0.23680033416875523
p27,Senior,g7,B,2,7,252,38,1512,0.18421052631578946,0.16666666666666666,0.17719298245614035,0.17543859649122806,0.17368421052631577
p28,Junior,g7,B,2,7,260,38,1512,0.18421052631578946,0.17195767195767195,0.17930938457254247,0.1780840991367307,0.17685881370091894
p29,Senior,g8,A,1,10,360,56,2025,0.17857142857142858,0.17777777777777778,0.17825396825396825,0.17817460317460318,0.1780952380952381
p30,Senior,g8,A,1,5,185,56,2025,0.08928571428571429,0.09135802469135802,0.09011463844797178,0.09032186948853616,0.09052910052910053
p31,Senior,g8,A,1,29,849,56,2025,0.5178571428571429,0.4192592592592593,0.4784179894179894,0.4685582010582011,0.4586984126984127
p32,Junior,g8,A,1,12,631,56,2025,0.21428571428571427,0.31160493827160496,0.2532134038800705,0.26294532627865963,0.2726772486772487
p29,Senior,g8,C,2,14,289,63,1974,0.2222222222222222,0.146403242147923,0.19189463019250252,0.1843127321850726,0.17673083417764268
p30,Senior,g8,C,2,11,315,63,1974,0.1746031746031746,0.1595744680851064,0.1685916919959473,0.1670888213441405,0.16558595069233367
p31,Senior,g8,C,2,30,1068,63,1974,0.47619047619047616,0.541033434650456,0.5021276595744681,0.508611955420466,0.5150962512664641
p32,Junior,g8,C,2,8,302,63,1974,0.12698412698412698,0.1529888551165147,0.13738601823708207,0.13998649105032085,0.14258696386355962
p33,Senior,g9,A,1,16,868,52,3327,0.3076923076923077,0.2608957018334836,0.28897366534877805,0.2842940047628957,0.27961434417701325
p34,Senior,g9,A,1,17,1303,52,3327,0.3269230769230769,0.3916441238352871,0.352811495687961,0.359283600379182,0.365755705070403
p35,Senior,g9,A,1,10,784,52,3327,0.19230769230769232,0.23564773068830777,0.2096437076599385,0.21397771149800004,0.21831171533606158
p36,Junior,g9,A,1,9,372,52,3327,0.17307692307692307,0.11181244364292155,0.14857113130332245,0.1424446833599223,0.13631823541652216
p33,Senior,g9,B,2,24,1264,58,2679,0.41379310344827586,0.47181784247853675,0.4370029990603802,0.44280547296340633,0.4486079468664324
p34,Senior,g9,B,2,15,844,58,2679,0.25862068965517243,0.3150429264650989,0.281189584379143,0.28683180806013564,0.2924740317411283
