nickname,subjectNum,groupNum,task,condition,role,PS,M1,PTDP1,PTDP2,PTDP3,PTDP4,PTDP5,PDOQ1,PDOQ2,NASA1,NASA2,NASA3,NASA4,NASA5,PAA1,PAA2,PAA3,PAA4
불닭소스반만넣어요,18,5,1,B,Senior,6,2,6,5,6,5,6,6,6,5,6,6,7,3,4.0,5.0,6.0,5.0
도롱,20,5,1,B,Junior,6,1,5,4,7,3,7,5,5,4,3,6,3,1,1.0,1.0,4.0,6.0
불나게 일하는 네오,19,5,1,B,Senior,7,1,6,7,6,6,6,6,6,6,6,6,5,2,5.0,5.0,4.0,5.0
룰류,89,23,2,B,Senior,7,1,6,6,7,6,4,7,7,6,3,7,3,1,1.0,2.0,5.0,7.0
엄지척 어피치,91,23,2,B,Senior,5,3,5,5,5,5,5,6,5,3,4,5,5,2,3.0,3.0,4.0,4.0
뿅뿅 네오,90,23,2,B,Senior,6,1,6,6,7,7,7,7,6,6,2,6,5,1,5.0,6.0,5.0,6.0
비옷입은 튜브,92,23,2,B,Junior,1,6,3,1,4,2,2,2,2,5,6,2,5,5,5.0,2.0,1.0,5.0
룰류,89,23,1,A,Senior,5,2,3,5,2,2,1,3,2,3,6,5,5,4,,,,
엄지척 어피치,91,23,1,A,Senior,4,3,4,4,4,4,5,5,5,5,6,5,4,4,,,,
비옷입은 튜브,92,23,1,A,Junior,1,7,2,1,2,1,1,1,1,6,7,1,7,7,,,,
뿅뿅 네오,90,23,1,A,Senior,6,2,5,6,5,6,6,6,6,6,2,6,6,1,,,,
화난튜브,13,4,1,B,Senior,7,1,6,7,7,7,3,6,6,1,2,6,3,1,4.0,6.0,7.0,6.0
프로도,16,4,1,B,Junior,3,6,5,2,5,2,6,6,6,5,6,4,4,3,6.0,6.0,5.0,5.0
음료수,15,4,1,B,Senior,6,2,7,6,6,6,5,6,7,1,2,6,6,2,6.0,7.0,6.0,6.0
호잇,14,4,1,B,Senior,6,1,5,7,3,6,3,6,6,4,2,4,5,1,3.0,3.0,5.0,5.0
호잇,14,4,2,A,Senior,7,1,5,2,5,3,7,4,5,3,1,5,5,2,,,,
화난튜브,13,4,2,A,Senior,7,1,6,6,6,2,7,2,7,1,1,6,1,6,,,,
프로도,16,4,2,A,Junior,5,3,3,5,4,4,3,5,5,6,5,3,5,4,,,,
음료수,15,4,2,A,Senior,7,2,6,7,6,6,7,6,7,2,1,6,6,1,,,,
울고있는 어피치,33,9,1,A,Senior,7,1,6,6,7,7,7,7,7,1,3,7,7,1,,,,
말썽쟁이 네오,35,9,1,A,Senior,6,2,6,6,6,6,4,6,5,4,4,5,5,3,,,,
단무지,36,9,1,A,Junior,2,3,1,1,1,1,1,4,1,1,1,1,4,4,,,,
권투하는 무지,34,9,1,A,Senior,6,1,6,7,6,5,6,6,6,5,5,7,6,1,,,,
울고있는 어피치,33,9,2,B,Senior,7,1,7,7,7,7,7,7,7,1,5,7,7,1,7.0,6.0,7.0,7.0
권투하는 무지,34,9,2,B,Senior,6,1,6,6,6,6,6,7,7,4,5,6,5,1,2.0,6.0,7.0,7.0
단무지,36,9,2,B,Junior,1,1,2,1,1,1,1,1,1,7,7,1,6,7,7.0,7.0,7.0,7.0
말썽쟁이 네오,35,9,2,B,Senior,6,2,6,6,5,6,3,6,5,3,4,6,5,1,3.0,4.0,4.0,6.0
멜론,79,20,2,A,Senior,4,1,4,3,4,2,4,5,3,1,1,3,1,1,,,,
유니유니,77,20,2,A,Senior,7,1,6,6,5,5,5,7,6,2,2,6,4,2,,,,
튜브낀 튜브,80,20,2,A,Junior,2,6,2,3,1,1,2,1,5,6,3,3,6,3,,,,
오리,78,20,2,A,Senior,6,1,6,5,6,7,6,7,7,3,1,6,2,1,,,,
유니유니,77,20,1,B,Senior,7,2,7,6,6,6,6,7,6,3,3,7,5,3,3.0,4.0,4.0,6.0
멜론,79,20,1,B,Senior,4,1,3,3,4,3,6,6,4,1,1,4,2,1,3.0,1.0,2.0,3.0
튜브낀 튜브,80,20,1,B,Junior,5,1,7,7,6,6,7,7,6,6,3,6,6,4,3.0,6.0,5.0,7.0
오리,78,20,1,B,Senior,6,1,6,7,7,4,7,5,6,7,5,6,6,6,5.0,5.0,2.0,3.0
졸린 라이언,25,7,2,B,Senior,7,1,6,7,6,6,5,6,6,2,2,6,5,1,2.0,3.0,2.0,5.0
하츄핑,26,7,2,B,Senior,4,1,4,3,6,6,6,6,6,4,3,5,5,1,5.0,4.0,4.0,4.0
P28,28,7,2,B,Junior,3,5,6,3,7,4,3,4,4,3,2,6,5,1,5.0,4.0,3.0,4.0
페드로,27,7,2,B,Senior,6,2,6,6,6,6,6,7,6,3,4,5,4,3,5.0,5.0,5.0,5.0
졸린 라이언,25,7,1,A,Senior,6,1,6,7,6,6,6,7,6,2,2,7,3,1,,,,
페드로,27,7,1,A,Senior,5,3,5,5,5,5,5,5,5,5,5,5,5,3,,,,
하츄핑,26,7,1,A,Senior,5,1,5,4,5,5,7,5,5,1,5,5,5,1,,,,
P28,28,7,1,A,Junior,4,3,6,3,5,5,5,4,4,3,2,5,5,4,,,,
멋쟁이 프로도,61,16,1,B,Senior,7,1,7,7,6,6,5,6,6,5,5,6,6,3,3.0,4.0,5.0,5.0
우가우가,63,16,1,B,Senior,7,1,7,7,7,7,7,7,7,1,1,7,7,1,5.0,3.0,6.0,4.0
화나서방방뛰는튜브,62,16,1,B,Senior,6,2,7,7,7,6,7,7,7,5,5,7,7,1,7.0,2.0,5.0,6.0
무지,64,16,1,B,Junior,6,2,5,5,6,6,5,6,6,2,4,5,6,2,4.0,5.0,5.0,3.0
멋쟁이 프로도,61,16,2,A,Senior,7,2,6,6,6,6,4,5,5,5,5,5,6,4,,,,
무지,64,16,2,A,Junior,6,2,5,5,5,6,4,4,4,6,5,4,5,4,,,,
화나서방방뛰는튜브,62,16,2,A,Senior,4,1,7,7,3,6,7,7,7,1,1,6,4,2,,,,
우가우가,63,16,2,A,Senior,7,1,7,7,7,7,6,6,6,1,2,6,7,1,,,,
유빈,40,10,2,B,Junior,6,1,5,6,6,6,7,7,6,6,6,6,6,2,4.0,4.0,4.0,6.0
무지,39,10,2,B,Senior,6,2,6,5,6,6,7,7,6,2,2,6,5,1,5.0,5.0,5.0,6.0
라이언,38,10,2,B,Senior,5,2,5,5,6,6,6,7,7,5,5,5,5,4,3.0,4.0,4.0,6.0
터보,37,10,2,B,Senior,7,1,6,6,6,6,4,7,7,6,5,6,6,2,3.0,3.0,1.0,3.0
터보,37,10,1,A,Senior,7,1,7,7,7,7,7,7,7,1,2,6,7,1,,,,
유빈,40,10,1,A,Junior,6,1,7,7,7,7,7,7,7,6,4,6,6,2,,,,
무지,39,10,1,A,Senior,7,1,7,5,7,6,7,6,6,1,1,6,3,1,,,,
라이언,38,10,1,A,Senior,6,4,5,6,6,5,6,6,5,5,5,6,5,3,,,,
