nickname,subjectNum,groupNum,task,condition,role,PS,M1,PTDP1,PTDP2,PTDP3,PTDP4,PTDP5,PDOQ1,PDOQ2,NASA1,NASA2,NASA3,NASA4,NASA5,PAA1,PAA2,PAA3,PAA4
라이언,32,8,2,C,Junior,2,5,3,1,5,2,3,5,5,6,6,2,5,3,5,2,2,5
참가자,29,8,2,C,Senior,6,2,6,5,4,5,6,7,6,2,5,6,7,1,7,7,7,7
윤윤,30,8,2,C,Senior,5,3,6,4,5,5,5,5,4,2,3,5,4,2,6,5,6,5
p31,31,8,2,C,Senior,4,1,6,7,5,7,6,7,6,7,7,6,6,4,7,7,4,6
참가자,29,8,1,A,Senior,6,2,6,6,6,6,7,6,6,1,2,7,7,1,,,,
라이언,32,8,1,A,Junior,6,2,6,3,6,7,5,5,5,6,6,3,5,3,,,,
윤윤,30,8,1,A,Senior,5,3,6,5,4,5,3,5,3,3,3,5,4,3,,,,
p31,31,8,1,A,Senior,5,1,5,7,5,5,6,6,3,6,6,7,7,4,,,,
딸기케이크,95,24,2,C,Senior,5,3,6,6,6,5,6,6,6,4,3,6,5,3,6,6,6,6
쥬쥬공쥬,94,24,2,C,Senior,6,1,6,7,5,6,6,7,6,6,6,6,6,3,5,6,6,6
불 뿜는 튜브,93,24,2,C,Senior,5,2,5,5,3,5,6,3,4,5,6,3,5,5,3,5,6,4
파페,96,24,2,C,Junior,4,3,3,2,4,3,6,5,5,5,5,3,6,5,5,3,3,3
파페,96,24,1,A,Junior,4,2,5,4,4,5,6,6,6,3,5,5,4,3,,,,
불 뿜는 튜브,93,24,1,A,Senior,6,2,5,5,6,5,4,6,3,4,3,5,5,3,,,,
딸기케이크,95,24,1,A,Senior,5,3,5,5,5,5,5,5,5,4,3,5,4,3,,,,
쥬쥬공쥬,94,24,1,A,Senior,6,1,6,5,6,5,5,7,6,4,4,6,4,1,,,,
파자마,7,2,1,A,Senior,6,1,6,7,5,6,6,7,6,1,1,6,6,1,,,,
테슬라지옥가즈아,8,2,1,A,Junior,7,1,6,7,7,6,3,3,2,2,7,3,6,3,,,,
ojo,6,2,1,A,Senior,2,2,1,2,5,2,3,1,2,5,2,2,6,5,,,,
브레댄코,5,2,1,A,Senior,3,3,5,4,6,4,5,7,6,3,2,4,4,3,2,,,
파자마,7,2,2,C,Senior,7,1,6,6,7,6,7,7,7,1,1,7,5,1,2,3,6,4
브레댄코,5,2,2,C,Senior,6,2,6,6,7,6,6,7,6,2,1,6,6,2,3,3,4,3
테슬라지옥가즈아,8,2,2,C,Junior,3,5,4,2,4,4,3,6,6,5,6,3,6,2,5,2,2,3
ojo,6,2,2,C,Senior,3,2,3,3,5,4,3,2,2,3,2,2,3,2,2,1,1,2
생각하는 라이언,48,12,1,C,Junior,3,4,2,3,3,3,2,2,2,5,6,3,6,5,2,2,2,5
Uni,46,12,1,C,Senior,6,2,6,6,5,6,6,6,6,2,2,6,4,2,3,3,3,3
JYW,47,12,1,C,Senior,6,2,4,5,3,6,4,5,5,2,4,5,5,5,4,4,2,5
천원의아침밥,45,12,1,C,Senior,5,2,5,5,4,5,3,6,6,2,2,5,5,2,5,6,6,3
생각하는 라이언,48,12,2,A,Junior,5,3,5,6,6,6,6,6,6,3,2,6,6,5,,,,
JYW,47,12,2,A,Senior,6,2,5,6,5,6,5,5,6,3,2,5,5,2,,,,
Uni,46,12,2,A,Senior,7,2,7,7,7,7,7,7,7,2,1,7,5,1,,,,
천원의아침밥,45,12,2,A,Senior,5,3,6,4,5,4,3,5,3,3,2,4,5,3,,,,
뿌뿌,17,5,1,A,Senior,3,4,4,5,4,5,3,4,5,5,5,4,4,5,,,,
불닭소스반만넣어요,18,5,2,A,Senior,6,1,5,5,6,6,6,6,6,5,6,6,6,3,,,,
불나게 일하는 네오,19,5,2,A,Senior,7,1,6,7,4,7,4,6,5,6,6,6,6,1,,,,
도롱,20,5,2,A,Junior,2,1,5,3,7,1,7,7,7,4,3,6,6,1,,,,
뿌뿌,17,5,1,B,Senior,4,3,4,5,4,5,5,5,6,3,3,5,6,3,3,3,5,5
불닭소스반만넣어요,18,5,1,B,Senior,6,2,6,5,6,5,6,6,6,5,6,6,7,3,4,5,6,5
도롱,20,5,1,B,Junior,6,1,5,4,7,3,7,5,5,4,3,6,3,1,1,1,4,6
불나게 일하는 네오,19,5,1,B,Senior,7,1,6,7,6,6,6,6,6,6,6,6,5,2,5,5,4,5
룰류,89,23,2,B,Senior,7,1,6,6,7,6,4,7,7,6,3,7,3,1,1,2,5,7
엄지척 어피치,91,23,2,B,Senior,5,3,5,5,5,5,5,6,5,3,4,5,5,2,3,3,4,4
뿅뿅 네오,90,23,2,B,Senior,6,1,6,6,7,7,7,7,6,6,2,6,5,1,5,6,5,6
비옷입은 튜브,92,23,2,B,Junior,1,6,3,1,4,2,2,2,2,5,6,2,5,5,5,2,1,5
룰류,89,23,1,A,Senior,5,2,3,5,2,2,1,3,2,3,6,5,5,4,,,,
엄지척 어피치,91,23,1,A,Senior,4,3,4,4,4,4,5,5,5,5,6,5,4,4,,,,
